Commodity,2024_Price,2025_Forecast,2026_Forecast,2027_Forecast,2028_Forecast,2029_Forecast,Annual_Growth_%,Total_Growth_%
Rice,44.04,47.48071539124191,50.580657068708035,53.37357578211052,55.88987955529951,58.15696475494408,5.718473698057602,32.054870015767655
Wheat,33.68,34.7558506495914,35.831652543562505,36.90740568412282,37.98311007348177,39.058765713848665,3.0076042478506704,15.970206988861824
Atta (Wheat),38.75,40.445133095790126,42.0968270122371,43.70619491402792,45.274321440089224,46.80226343458336,3.848213551762969,20.780034669892533
Gram Dal,85.27,86.41853579518634,86.12823686031116,86.20161156220802,86.18306569024067,86.18775326454268,0.2143374014113908,1.076290916550593
Tur/Arhar Dal,155.54,161.1172130622428,158.77170181651957,159.75811258161266,159.34327500653572,159.51773601181426,0.506321101801066,2.5573717447693767
Urad DaI,125.35,112.59406597973306,106.35171933186739,103.29691428111937,101.80199026864624,101.07042220916514,-4.214460801303311,-19.369427834730637
Moong DaI,117.2,121.63957406069042,121.26938875124362,121.30025593837844,121.2976821375892,121.29789674899754,0.6897196735859978,3.496498932591763
Masoor Dal,92.92,96.32006104534935,97.2679604615988,97.53222433549455,97.60589818089336,97.62643763418991,0.9930872303675287,5.065042654100216
Groundnut Oil (Packed),188.49,188.09305980360824,188.0294099034801,188.01920355546306,188.0175669536831,188.01730452236274,-0.050206415503362134,-0.25078013562378487
Mustard Oil (Packed),146.06,143.6637737933676,142.05639045054596,140.97816119004077,140.2548873404009,139.76971681059376,-0.876561754447247,-4.3066432900220715
Vanaspati (Packed),125.07,127.2377088681009,127.47133938908048,127.49651953256581,127.49923338871476,127.49952588169445,0.38552254279997644,1.9425328869388858
Soya Oil (Packed),126.46,115.75069260957018,113.91411826915358,113.59915809620244,113.5451445404414,113.53588157814805,-2.1330639811567464,-10.219926001780754
Sunflower Oil (Packed),137.48,127.1507209356873,126.68557597987656,126.66462971358159,126.66368646768325,126.6636439917206,-1.6255106669331387,-7.867585109309994
Palm Oil (Packed),104.24,108.23981367848124,108.16625325517134,108.16760610215685,108.16758122199869,108.16758167956874,0.7424581316012979,3.767825862978458
Potato,27.01,21.896486856458324,27.00997346488083,21.896513391439797,27.009946930037053,21.896539926145877,-4.110692583963916,-18.93172926269576
Onion,37.14,33.41132471257738,32.76072081488633,32.64719914859412,32.6273911382771,32.62393490577511,-2.559638053544011,-12.159572143847308
Tomato,41.47,31.71930670786504,38.58318122049916,33.75144547472855,37.152683401498024,34.75842592485076,-3.4693538905734456,-16.184167048828634
Sugar,44.42,43.35653886944692,43.05961362814884,42.9767101760273,42.95356299479197,42.94710015174467,-0.6721447171728734,-3.315848375180841
Gur,53.27,54.3242230571059,55.37842125676783,56.432594599571914,57.48674308610425,58.54086671695091,1.9049523497405074,9.894624961424636
Milk,58.46,61.00301624767045,63.4466458718666,65.79477311868192,68.05113042939762,70.219304373346,3.733622052204777,20.115128931484794
Tea Loose,276.24,275.86864313854005,275.9150912669932,275.9092816836498,275.91000832775256,275.90991744143236,-0.023909675619027126,-0.11949122450320981
Salt Pack (lodised),22.23,21.731811672376406,21.446936957597988,21.284039517773984,21.190891286201886,21.13762714003493,-1.0026990912445854,-4.913957984548222
