Year,Rainfall_mm,Avg_Temperature_C,Drought_Index,GDP_Growth_%,Inflation_%,USD_INR_Rate,Crude_Oil_Price,Fertilizer_Price_Index,Fuel_Price_Rs/L,Minimum_Support_Price_Index,Export_Volume_Index,Storage_Capacity_Index,Transport_Cost_Index
2014,850,25.2,0.2,7.4,6.0,60.5,105,100,55,100,100,100,100
2015,920,26.1,0.1,8.0,5.9,64.1,53,95,52,105,110,102,103
2016,780,24.8,0.4,8.3,2.0,67.2,44,85,48,110,95,105,98
2017,1100,25.9,0.0,6.8,3.4,68.4,43,90,58,115,120,108,112
2018,650,26.5,0.6,4.0,4.5,74.4,69,120,72,120,80,110,125
2019,980,25.0,0.1,6.5,6.2,74.9,64,115,68,125,105,112,118
2020,1200,24.6,0.0,-7.3,6.6,76.9,43,110,65,130,70,115,115
2021,750,26.8,0.5,8.9,5.1,79.4,71,140,78,135,125,118,130
2022,890,25.7,0.2,7.0,6.7,82.8,95,160,95,140,140,120,145
2023,1050,25.3,0.1,6.1,5.0,83.1,82,155,88,145,130,122,140
2024,820,26.0,0.3,6.8,5.4,84.2,75,150,85,150,115,125,135
